,RPA,votos,pct_bairro,conv_social,negros,inscritos,idosos,infancia
0,RPA2,166865,54.6875,5925.25,9604230.68,96925.22,4480757.91,2722964.7600000002
1,RPA3,218076,53.416666666666664,8304.0,11450831.48,132677.44,6618311.91,3522024.72
